CAT	STEM	SYMBOL	FILE
4_PLAIN_IN_SOURCE	dgtsv	dgtsv_	src/lapack/computational/dgtsv.c
4_PLAIN_IN_SOURCE	dgtsvx	dgtsvx_	src/lapack/drivers/gbsvx_ref.c
4_PLAIN_IN_SOURCE	dgttrf	dgttrf	src/lapack/computational/dgttrf.c
4_PLAIN_IN_SOURCE	dgttrs	dgttrs	src/lapack/computational/dgttrs.c
4_PLAIN_IN_SOURCE	dher	dher_	src/blas/level2/dher.c
4_PLAIN_IN_SOURCE	dher2	dher2_	src/blas/level2/dher2.c
4_PLAIN_IN_SOURCE	dhetd2	dhetd2	src/lapack/drivers/dhetd2.c
4_PLAIN_IN_SOURCE	dimatcopy	dimatcopy	src/blas/level3/blas_ext_compat.c
4_PLAIN_IN_SOURCE	dimatcopy_batch	dimatcopy_batch	src/blas/level3/blas_ext_compat.c
4_PLAIN_IN_SOURCE	dimatcopy_batch_strided	dimatcopy_batch_strided	src/blas/level3/blas_ext_compat.c
4_PLAIN_IN_SOURCE	dla_gbamv	dla_gbamv	src/lapack/auxiliary/dla_gbamv.c
4_PLAIN_IN_SOURCE	dlabrd	dlabrd	src/lapack/computational/dlabrd.c
4_PLAIN_IN_SOURCE	dlacon	dlacon	src/lapack/auxiliary/clacon.c
4_PLAIN_IN_SOURCE	dlaed5	dlaed5	src/lapack/computational/dlaed5.c
4_PLAIN_IN_SOURCE	dlaed6	dlaed6	src/lapack/computational/dlaed6.c
4_PLAIN_IN_SOURCE	dlaeda	dlaeda	src/lapack/auxiliary/dlaeda.c
4_PLAIN_IN_SOURCE	dlaein	dlaein	src/lapack/auxiliary/dlaein.c
4_PLAIN_IN_SOURCE	dlaev2	dlaev2	src/lapack/auxiliary/dlaev2.c
4_PLAIN_IN_SOURCE	dlaexc	dlaexc	src/lapack/auxiliary/dlaexc.c
4_PLAIN_IN_SOURCE	dlags2	dlags2	src/lapack/auxiliary/dlags2.c
4_PLAIN_IN_SOURCE	dlagtf	dlagtf	src/lapack/auxiliary/dlagtf.c
4_PLAIN_IN_SOURCE	dlagtm	dlagtm	src/lapack/auxiliary/dlagtm.c
4_PLAIN_IN_SOURCE	dlagts	dlagts	src/lapack/auxiliary/dlagts.c
4_PLAIN_IN_SOURCE	dlagv2	dlagv2	src/lapack/auxiliary/dlagv2.c
4_PLAIN_IN_SOURCE	dlahqr	dlahqr	src/lapack/computational/dlahqr.c
4_PLAIN_IN_SOURCE	dlaic1	dlaic1	src/lapack/auxiliary/dlaic1.c
4_PLAIN_IN_SOURCE	dlangb	dlangb	src/lapack/auxiliary/dlangb.c
4_PLAIN_IN_SOURCE	dlangt	dlangt_	src/lapack/auxiliary/dlangt.c
4_PLAIN_IN_SOURCE	dlanhs	dlanhs	src/lapack/computational/dlanhs.c
4_PLAIN_IN_SOURCE	dlansb	dlansb	src/lapack/auxiliary/dlansb.c
4_PLAIN_IN_SOURCE	dlansp	dlansp	src/lapack/auxiliary/dlansp.c
4_PLAIN_IN_SOURCE	dlanst	dlanst_	src/lapack/auxiliary/dlanst.c
4_PLAIN_IN_SOURCE	dlantb	dlantb	src/lapack/auxiliary/dlantb.c
4_PLAIN_IN_SOURCE	dlantp	dlantp	src/lapack/auxiliary/dlantp.c
4_PLAIN_IN_SOURCE	dlapmt	dlapmt	src/lapack/auxiliary/dlapmt.c
4_PLAIN_IN_SOURCE	dlapy2	dlapy2	src/lapack/auxiliary/dlapy2.c
4_PLAIN_IN_SOURCE	dlapy3	dlapy3	src/lapack/auxiliary/dlapy3.c
4_PLAIN_IN_SOURCE	dlaqgb	dlaqgb	src/lapack/auxiliary/dlaqgb.c
4_PLAIN_IN_SOURCE	dlaqp2	dlaqp2	src/lapack/auxiliary/dlaqp2.c
4_PLAIN_IN_SOURCE	dlaqps	dlaqps	src/lapack/computational/dlaqps.c
4_PLAIN_IN_SOURCE	dlaqr0	dlaqr0	src/lapack/auxiliary/dlaqr0.c
4_PLAIN_IN_SOURCE	dlaqr1	dlaqr1	src/lapack/auxiliary/dlaqr1.c
4_PLAIN_IN_SOURCE	dlaqr2	dlaqr2	src/lapack/auxiliary/dlaqr2.c
4_PLAIN_IN_SOURCE	dlaqsb	dlaqsb	src/lapack/auxiliary/dlaqsb.c
4_PLAIN_IN_SOURCE	dlaqsp	dlaqsp	src/lapack/auxiliary/dlaqsp.c
4_PLAIN_IN_SOURCE	dlar1v	dlar1v	src/lapack/auxiliary/dlar1v.c
4_PLAIN_IN_SOURCE	dlar2v	dlar2v	src/lapack/auxiliary/dlar2v.c
4_PLAIN_IN_SOURCE	dlarge	dlarge	src/lapack/auxiliary/dlarge.c
4_PLAIN_IN_SOURCE	dlarnv	dlarnv	src/lapack/auxiliary/clarnv.c
4_PLAIN_IN_SOURCE	dlarra	dlarra	src/lapack/auxiliary/dlarra.c
4_PLAIN_IN_SOURCE	dlarrb	dlarrb	src/lapack/auxiliary/dlarrb.c
4_PLAIN_IN_SOURCE	dlarrc	dlarrc	src/lapack/auxiliary/dlarrc.c
4_PLAIN_IN_SOURCE	dlarrd	dlarrd	src/lapack/auxiliary/dlarrd.c
4_PLAIN_IN_SOURCE	dlarre	dlarre	src/lapack/auxiliary/dlarre.c
4_PLAIN_IN_SOURCE	dlarrf	dlarrf	src/lapack/computational/dlarrf.c
4_PLAIN_IN_SOURCE	dlartv	dlartv	src/lapack/computational/dlartv.c
4_PLAIN_IN_SOURCE	dlas2	dlas2	src/lapack/auxiliary/dlas2.c
4_PLAIN_IN_SOURCE	dlasd0	dlasd0	src/lapack/computational/dlasd0.c
4_PLAIN_IN_SOURCE	dlasd1	dlasd1	src/lapack/computational/dlasd1.c
4_PLAIN_IN_SOURCE	dlasd2	dlasd2	src/lapack/computational/dlasd2.c
4_PLAIN_IN_SOURCE	dlasd3	dlasd3	src/lapack/computational/dlasd3.c
4_PLAIN_IN_SOURCE	dlasd4	dlasd4	src/lapack/computational/dlasd4.c
4_PLAIN_IN_SOURCE	dlasd5	dlasd5	src/lapack/auxiliary/dlasd5.c
4_PLAIN_IN_SOURCE	dlasd6	dlasd6	src/lapack/auxiliary/dlasd6.c
